Type	NFE2L2_13g
COPD	0.3017176433240847
COPD	-0.5706749678226007
COPD	1.043800811560741
COPD	0.20693070675198144
COPD	-0.8162346545303597
healthy	0.07955559440707466
healthy	0.6422965431123627
healthy	0.8571612689816529
healthy	0.9697094587227122
healthy	0.155772438687864
healthy	1.8746902456421968
healthy	0.472953700685389
healthy	1.4551924475164366
healthy	0.36604189556613087
healthy	0.3967368564045998
healthy	0.4422587398469201
healthy	1.0254629957778527
COPD	-0.1716404769224854
COPD	-0.1716404769224854
COPD	-1.1129526093022402
COPD	0.3799033090700896
COPD	0.16272204707256465
COPD	0.002297634495511419
COPD	-0.1511771696968409
COPD	-1.2561957598817683
COPD	-0.9697094587227122
COPD	0.4822198451983245
COPD	0.2264285048777413
COPD	-0.4274318172430727
COPD	0.5845363813265594
COPD	-0.12048220885836798
COPD	1.828936085691476
COPD	-1.000404419561185
COPD	-0.8366979617560083
COPD	-0.3865052027917795
COPD	0.21716236036480158
COPD	-0.5502116605969521
COPD	-0.3967368564045998
COPD	-1.2255007990432996
COPD	0.9538414204880865
COPD	-1.3175856815587101
COPD	-1.0106360731740094
COPD	-1.0413310340124782
COPD	-0.5297483533713075
COPD	0.9231464596496175
COPD	0.7389766946187963
COPD	0.2887839356545678
COPD	-0.18187213053530968
COPD	-0.7650763864662423
COPD	-1.0515626876253026
COPD	-1.3687439496228275
COPD	0.4486283570601937
COPD	-1.0106360731740094
COPD	-0.08978724801989905
COPD	0.5300960680343227
COPD	-1.2357324526561237
COPD	-1.348280642397179
COPD	-0.03862897995578162
COPD	-1.174342530979182
COPD	-0.8673929225944773
COPD	0.3248830046064253
COPD	-0.26372535943789605
COPD	0.2376256675904501
COPD	0.155772438687864
COPD	0.3297105501058608
COPD	0.49341700791103354
COPD	0.5548069295879751
COPD	0.6264285048777413
COPD	-0.7036864647893045
COPD	-0.007934019117312691
COPD	0.36040551094432977
COPD	-0.5195166997584834
COPD	-1.2868907207202411
COPD	0.616196851264917
COPD	0.902683152423973
COPD	-0.7650763864662423
COPD	0.540327721647143
COPD	0.5710226824856157
COPD	0.5957335440392684
COPD	-1.2050374918176507
COPD	0.8208299235213827
COPD	0.20693070675198144
COPD	-1.3073540279458857
COPD	0.427970576591588
COPD	0.20693070675198144
COPD	0.6775867729418548
COPD	-1.378975603235652
COPD	0.7277795319060875
COPD	-0.5297483533713075
COPD	0.7082817337803277
COPD	-0.4581267780815415
